	 181759
contractile fiber	 9
negative regulation of epithelial cell differentiation	 1
cellular biosynthetic process	 9
cell migration involved in gastrulation	 24
positive regulation of protein secretion	 10
cytokinin mediated signaling pathway	 4
oxylipin biosynthetic process	 5
nuclease activity	 385
NADH metabolic process	 2
regulation of smooth muscle cell apoptotic process	 2
double-strand break repair via nonhomologous end joining	 15
sodium:potassium-exchanging ATPase complex	 4
UMP biosynthetic process	 11
ribonuclease P activity	 9
polyphosphate-glucose phosphotransferase activity	 1
hyaluronan metabolic process	 2
purine nucleotide binding	 17
voluntary musculoskeletal movement	 6
microtubule-based movement	 697
muscle cell development	 4
geranyltranstransferase activity	 10
phytochelatin transmembrane transporter activity	 1
isocitrate dehydrogenase (NAD+) activity	 1
nematode larval development	 92
PMA-inducible membrane protein ectodomain proteolysis	 2
pyruvate dehydrogenase (acetyl-transferring) kinase activity	 12
intraflagellar transport particle B	 25
triglyceride homeostasis	 1
intraflagellar transport particle A	 2
endosomal lumen acidification	 1
5-amino-6-(5-phosphoribosylamino)uracil reductase activity	 7
positive regulation of cytoskeleton organization	 5
satellite DNA binding	 4
7-methylguanosine mRNA capping	 21
positive regulation of glycoprotein biosynthetic process	 1
triacyl lipopeptide binding	 3
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	 49
3-deoxy-8-phosphooctulonate synthase activity	 4
negative regulation of insulin receptor signaling pathway	 21
terminal branching, open tracheal system	 2
anterior/posterior axis specification	 6
uracil DNA N-glycosylase activity	 5
epoxide hydrolase activity	 5
coated vesicle	 7
acetylspermidine deacetylase activity	 2
protein kinase inhibitor activity	 3
mono-olein transacylation activity	 1
galactosylceramide metabolic process	 2
phosphatidylinositol-4-phosphate binding	 2
tumor necrosis factor-mediated signaling pathway	 30
hormone metabolic process	 4
10-formyltetrahydrofolate catabolic process	 3
triglyceride transport	 1
vanillate monooxygenase activity	 2
regulation of lamellipodium assembly	 1
N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity	 1
cell volume homeostasis	 17
L-leucine transaminase activity	 26
AP-2 adaptor complex	 16
L-pipecolate dehydrogenase activity	 5
cytoplasmic sequestering of transcription factor	 5
release of cytochrome c from mitochondria	 10
dynactin complex	 4
3'-phosphoadenosine 5'-phosphosulfate binding	 3
positive regulation of centriole replication	 2
chronic inflammatory response	 8
postganglionic parasympathetic nervous system development	 3
methionine gamma-lyase activity	 2
inositol-3-phosphate synthase activity	 2
multivesicular body membrane	 1
propanoyl-CoA C-acyltransferase activity	 8
oxidoreductase activity, acting on the CH-CH group of donors	 172
mitochondrial respiratory chain complex III	 2
NURF complex	 3
heat shock protein binding	 376
artery morphogenesis	 5
phytosphingosine biosynthetic process	 1
protein-arginine omega-N symmetric methyltransferase activity	 2
regulation of transforming growth factor beta2 production	 2
interstitial matrix	 2
tryptophan 2,3-dioxygenase activity	 2
auxin:hydrogen symporter activity	 1
trans-Golgi network membrane	 6
hormone secretion	 2
histidine catabolic process to glutamate and formamide	 3
phosphogluconate 2-dehydrogenase activity	 1
exo-alpha-sialidase activity	 10
removal of nonhomologous ends	 1
cAMP-dependent protein kinase activity	 13
platelet activating factor biosynthetic process	 1
ribonuclease activity	 77
galactose binding	 1
spliceosomal snRNP assembly	 7
retinal blood vessel morphogenesis	 12
minus-end directed microtubule sliding	 1
chromatin silencing at telomere	 3
biotinidase activity	 1
phosphatidylinositol metabolic process	 32
peptidyl-tyrosine dephosphorylation	 362
regulation of focal adhesion assembly	 1
B cell differentiation	 6
aminoacyl-tRNA hydrolase activity	 9
foregut morphogenesis	 11
regulation of androgen receptor signaling pathway	 4
axonemal microtubule	 5
endoplasmic reticulum membrane	 263
cis assembly of pre-catalytic spliceosome	 5
3-oxo-5-alpha-steroid 4-dehydrogenase activity	 3
viral protein processing	 3
DNA recombination	 547
embryo sac development	 4
negative regulation of antimicrobial humoral response	 1
interphase of mitotic cell cycle	 3
negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	 1
uterus morphogenesis	 2
binding	 4725
carbonyl reductase (NADPH) activity	 2
germ-line stem cell maintenance	 6
NAD+ binding	 48
histone demethylase activity (H3-R2 specific)	 1
alkaloid catabolic process	 3
serine-tRNA ligase activity	 22
glutamate-cysteine ligase complex	 4
Cul4A-RING ubiquitin ligase complex	 7
positive regulation of tyrosine phosphorylation of STAT protein	 2
thylakoid membrane	 47
activin responsive factor complex	 1
ceramide binding	 1
Wnt receptor signaling pathway involved in somitogenesis	 11
cytolysis	 9
cerebral cortex neuron differentiation	 1
positive regulation of heart contraction	 5
exodeoxyribonuclease V activity	 16
phosphatidylcholine metabolic process	 2
negative regulation of phosphatidylinositol 3-kinase cascade	 1
regulation of dopamine secretion	 3
positive regulation of isotype switching	 1
Wnt receptor signaling pathway	 80
trehalose transmembrane transporter activity	 4
plus-end kinesin complex	 3
glucose metabolic process	 95
vitamin D metabolic process	 8
proline-tRNA ligase activity	 15
cilium movement involved in cell motility	 1
germarium-derived oocyte fate determination	 8
AMP nucleosidase activity	 4
Fanconi anaemia nuclear complex	 1
saccharopine dehydrogenase (NADP+, L-lysine-forming) activity	 6
lactate transmembrane transporter activity	 2
lymphocyte differentiation	 8
malate transmembrane transport	 1
negative regulation of neuron apoptotic process	 31
metallocarboxypeptidase activity	 43
DNA replication preinitiation complex	 1
male-specific defense response to bacterium	 1
cobalamin binding	 102
male genitalia development	 6
apical protein localization	 9
amylopectin biosynthetic process	 4
negative regulation of fatty acid biosynthetic process	 2
mitochondrial intermembrane space	 21
UTP:galactose-1-phosphate uridylyltransferase activity	 2
defense response to fungus, incompatible interaction	 2
DNA damage response, detection of DNA damage	 3
cartilage condensation	 6
response to chlorate	 5
telomere maintenance via semi-conservative replication	 11
positive regulation of fever generation	 1
cis-stilbene-oxide hydrolase activity	 4
TBP-class protein binding	 5
thylakoid	 113
response to jasmonic acid stimulus	 2
peptidyl-lysine trimethylation	 2
regulation of complement activation	 1
gamma-catenin binding	 18
enoyl-[acyl-carrier-protein] reductase (NADH) activity	 14
regulation of tube length, open tracheal system	 7
hepatocyte growth factor receptor signaling pathway	 9
choloylglycine hydrolase activity	 1
cytoplasmic cyclin-dependent protein kinase holoenzyme complex	 2
C-4 methylsterol oxidase activity	 1
mRNA stabilization	 15
cell-substrate adherens junction	 2
fungal-type cell wall	 1
cleavage of lamin involved in execution phase of apoptosis	 1
N-4 methylation of cytosine	 26
mitochondrial inner membrane	 263
stress granule assembly	 10
pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex	 2
phosphatidylcholine-sterol O-acyltransferase activity	 8
lipid metabolic process	 438
zymogen granule membrane	 12
DNA binding, bending	 8
imaginal disc-derived male genitalia development	 1
saccharopine dehydrogenase (NAD+, L-lysine-forming) activity	 4
DNA replication initiation	 53
intermediate filament bundle assembly	 1
metal ion transmembrane transporter activity	 65
ovarian cumulus expansion	 1
protein complex assembly	 73
positive regulation of conjugation with cellular fusion	 1
protein maturation	 2
sphingomyelin catabolic process	 4
oocyte anterior/posterior axis specification	 6
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	 5
type I interferon-mediated signaling pathway	 3
response to toxic substance	 24
flagellum assembly	 27
histone demethylase activity (H3-trimethyl-K4 specific)	 2
sphingolipid delta-4 desaturase activity	 1
suberin biosynthetic process	 1
microtubule-severing ATPase activity	 40
NEDD8-specific protease activity	 1
female germline ring canal inner rim	 4
phosphatidylinositol-mediated signaling	 22
nucleolus organization	 4
nuclear pore distribution	 1
protein homooligomerization	 37
host cell surface receptor binding	 5
adenine phosphoribosyltransferase activity	 2
homeostatic process	 2
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	 1
phospholipid biosynthetic process	 85
compound eye photoreceptor cell differentiation	 11
thiosulfate transmembrane transporter activity	 1
blood coagulation, intrinsic pathway	 2
mesenchymal-epithelial cell signaling involved in prostate gland development	 5
epidermal cell differentiation	 2
cell proliferation	 131
leukotriene production involved in inflammatory response	 1
regulation of transcription involved in G2/M-phase of mitotic cell cycle	 1
positive regulation of transferase activity	 1
regulation of synaptic vesicle priming	 1
negative regulation of interleukin-2 production	 12
regulation of filamentous growth	 6
glycosaminoglycan metabolic process	 7
brush border membrane	 16
cell projection	 306
phytanoyl-CoA dioxygenase activity	 7
myo-inosose-2 dehydratase activity	 3
maintenance of epithelial cell apical/basal polarity	 8
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	 6
RNA polyadenylation	 18
molybdopterin cofactor biosynthetic process	 11
steroid catabolic process	 1
oxoglutarate:malate antiporter activity	 3
single fertilization	 7
regulation of blood pressure	 26
tRNA thio-modification	 1
neural tube development	 27
UFM1 activating enzyme activity	 2
actin cytoskeleton reorganization	 20
regulation of endosome size	 1
transferase activity, transferring phosphorus-containing groups	 584
cytokine receptor activity	 3
regulation of blood vessel size	 5
meiotic cytokinesis	 1
extracellular matrix disassembly	 5
pellicle	 1
structural constituent of nuclear pore	 6
extrinsic apoptotic signaling pathway via death domain receptors	 14
barbed-end actin filament capping	 1
dense fibrillar component	 2
aldose 1-epimerase activity	 9
cGMP biosynthetic process	 52
spindle midzone assembly involved in meiosis	 1
glutathione transmembrane transport	 5
positive regulation of alpha-beta T cell differentiation	 5
thiosulfate sulfurtransferase activity	 14
inositol or phosphatidylinositol phosphatase activity	 34
RNA-3'-phosphate cyclase activity	 4
cytokinesis, initiation of separation	 2
sodium ion transmembrane transport	 49
cellular response to heat	 10
formate dehydrogenase (cytochrome) activity	 6
proton-transporting V-type ATPase, V1 domain	 13
positive regulation of blood vessel endothelial cell migration	 3
anthranilate metabolic process	 1
mast cell activation	 1
pentose-phosphate shunt, non-oxidative branch	 11
D-threo-aldose 1-dehydrogenase activity	 1
acetyl-CoA C-acyltransferase activity	 104
organic phosphonate transport	 1
protein trimerization	 1
phosphatidylinositol phosphate kinase activity	 29
response to extracellular stimulus	 2
phosphorus-oxygen lyase activity	 163
DNA topoisomerase (ATP-hydrolyzing) inhibitor activity	 2
photosystem I	 16
NAD+ synthase activity	 8
labyrinthine layer blood vessel development	 3
proton-transporting two-sector ATPase complex, catalytic domain	 64
phagocytic cup	 19
RNA processing	 252
thalamus development	 13
microtubule motor activity	 706
mRNA cleavage involved in gene silencing by miRNA	 4
reactive oxygen species metabolic process	 5
GDP metabolic process	 1
protein palmitoylation	 6
telencephalon development	 9
forebrain development	 49
antigen processing and presentation of peptide antigen via MHC class I	 1
regulation of eye photoreceptor cell development	 1
box C/D snoRNP complex	 1
protein auto-ADP-ribosylation	 4
phospholipid transfer to membrane	 3
ATPase activity, coupled to transmembrane movement of substances	 437
mitotic cell cycle checkpoint	 12
cadmium-exporting ATPase activity	 5
activation of anaphase-promoting complex activity	 3
'de novo' cotranslational protein folding	 2
urea transport	 2
ATPase activator activity	 16
Wnt-activated receptor activity	 9
UTP biosynthetic process	 28
voltage-gated calcium channel activity	 72
sister chromatid biorientation	 3
cellular bud neck	 8
nitric oxide dioxygenase activity	 1
root development	 8
generation of precursor metabolites and energy	 33
type II protein secretion system complex	 5
external genitalia morphogenesis	 13
regulation of proteolysis	 33
learning or memory	 27
mitochondrial ATP synthesis coupled proton transport	 3
calcium channel inhibitor activity	 2
motile primary cilium	 6
base conversion or substitution editing	 2
post-embryonic retina morphogenesis in camera-type eye	 2
glycerophosphate shuttle	 1
L-gulonolactone oxidase activity	 2
mandelate metabolic process	 2
positive regulation of compound eye retinal cell programmed cell death	 1
butyryl-CoA dehydrogenase activity	 12
CHRAC	 3
single-stranded DNA-dependent ATP-dependent DNA helicase activity	 2
suckling behavior	 1
hemoglobin complex	 5
alpha-L-rhamnosidase activity	 2
galactokinase activity	 1
aminobutyraldehyde dehydrogenase activity	 1
germ cell development	 26
regulation of angiogenesis	 16
prenylcysteine oxidase activity	 2
testosterone 6-beta-hydroxylase activity	 2
carnitine metabolic process	 2
eye pigment precursor transporter activity	 2
DNA duplex unwinding	 17
ribonuclease P complex	 1
regulation of carbohydrate utilization	 1
transmembrane receptor protein tyrosine kinase activity	 103
heme transport	 17
fertilization	 22
snRNP binding	 1
multicellular organismal protein catabolic process	 2
protein refolding	 30
trachea formation	 3
cell motility	 10
tachykinin receptor signaling pathway	 2
salivary gland boundary specification	 2
guanidinobutyrase activity	 1
negative regulation of axon extension involved in axon guidance	 2
asparagine-tRNA ligase activity	 6
pigment cell differentiation	 2
4-phytase activity	 7
mating projection base	 2
mu-type opioid receptor binding	 1
mitochondrial respiratory chain complex IV	 6
release of sequestered calcium ion into cytosol	 14
octopamine catabolic process	 1
MLL5-L complex	 13
regulation of translational initiation in response to osmotic stress	 3
GINS complex	 3
amine transport	 1
carnitine:acyl carnitine antiporter activity	 1
vascular smooth muscle contraction	 1
nitrogen compound metabolic process	 219
trehalose-phosphatase activity	 18
elastic fiber assembly	 5
GABA receptor binding	 4
oxidized base lesion DNA N-glycosylase activity	 1
Golgi apparatus part	 41
transmembrane receptor protein tyrosine phosphatase signaling pathway	 22
gamma-glutamylcyclotransferase activity	 1
neurotransmitter catabolic process	 14
gamma-glutamyl carboxylase activity	 2
cadherin binding	 33
cilium axoneme assembly	 6
DNA (6-4) photolyase activity	 2
dihydroorotate oxidase activity	 5
2,4'-dihydroxyacetophenone dioxygenase activity	 1
carbonate dehydratase activity	 50
regulation of myosin II filament organization	 2
ligand-dependent nuclear receptor transcription coactivator activity	 14
sensitization	 1
regulation of endopeptidase activity	 2
tRNA methyltransferase activity	 4
imaginal disc-derived wing margin morphogenesis	 4
nerve growth factor production	 3
creatine biosynthetic process	 3
positive regulation of gamma-delta T cell differentiation	 3
JAK-STAT cascade	 8
actin filament binding	 147
positive regulation of cell morphogenesis involved in differentiation	 1
operant conditioning	 1
negative regulation of neural precursor cell proliferation	 1
positive regulation of seed germination	 1
xanthine biosynthetic process	 1
regulation of root meristem growth	 2
high-affinity iron ion transport	 6
olfactory behavior	 11
retromer complex	 4
cardiac cell fate specification	 2
central nervous system myelin formation	 1
lysine N-acetyltransferase activity	 1
DNA ligase (ATP) activity	 10
stem cell fate determination	 1
intein-mediated protein splicing	 18
regulation of transcription from RNA polymerase II promoter by nuclear hormone receptor	 7
double-strand break repair via homologous recombination	 38
L-arginine import	 1
negative regulation of protein catabolic process	 9
activation of Rho GTPase activity	 1
nuclear pre-replicative complex	 5
protein phosphatase 2A binding	 3
regulation of chemotaxis	 2
rhamnose metabolic process	 2
Golgi vesicle budding	 3
positive regulation of axonogenesis	 11
D-sorbitol dehydrogenase (acceptor) activity	 1
NLRP1 inflammasome complex	 6
cis-Golgi network	 27
[myelin basic protein]-arginine N-methyltransferase activity	 3
synaptic vesicle coating	 7
negative regulation of vascular endothelial growth factor receptor signaling pathway	 1
positive regulation of interferon-beta production	 20
meiosis	 66
positive regulation of glial cell proliferation	 2
cellular water homeostasis	 4
acetylcholine transport	 2
defense response signaling pathway, resistance gene-independent	 2
tRNA 5'-leader removal	 7
catalytic activity	 7215
female meiosis sister chromatid cohesion	 1
ribosomal small subunit binding	 2
fin morphogenesis	 21
tongue morphogenesis	 1
depurination	 1
DNA-dependent protein kinase activity	 7
basolateral plasma membrane	 111
acrosomal vesicle	 20
NAD-dependent histone deacetylase activity (H3-K9 specific)	 7
leucine catabolic process	 4
transcription elongation regulator activity	 20
molybdenum ion transmembrane transporter activity	 1
mitochondrion distribution	 1
ammonium transmembrane transporter activity	 50
small protein activating enzyme activity	 24
thylakoid membrane organization	 3
response to retinoic acid	 5
ATP-dependent chromatin remodeling	 3
adherens junction	 46
positive regulation of catalytic activity	 20
T-helper cell differentiation	 1
mitotic centrosome separation	 7
nucleotide-excision repair, DNA duplex unwinding	 6
cGMP-dependent protein kinase activity	 76
hydro-lyase activity	 62
peptidyl-lysine modification	 1
plastoquinone biosynthetic process	 1
axon extension	 18
host cell plasma membrane	 3
anatomical structure formation involved in morphogenesis	 3
transferase activity, transferring glycosyl groups	 657
male courtship behavior	 7
ketone body catabolic process	 21
E-box binding	 3
response to dexamethasone stimulus	 1
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)	 2
beta-alanine catabolic process	 1
histone H3-T6 phosphorylation	 5
type B pancreatic cell maturation	 1
glucarate dehydratase activity	 1
GDP binding	 25
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	 7
inductive cell migration	 9
phosphatidylethanolamine biosynthetic process	 7
oxidative DNA demethylation	 1
DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates	 1
cysteine synthase activity	 33
cellular response to growth factor stimulus	 7
negative regulation of B cell activation	 1
sensory processing	 4
terminal region determination	 2
pentose biosynthetic process	 3
GTP biosynthetic process	 28
mitochondrion transport along microtubule	 4
GMP biosynthetic process	 29
hindlimb morphogenesis	 2
ganglioside metabolic process	 1
calcium:sodium antiporter activity	 92
protein secretion by the type II secretion system	 5
lipopolysaccharide-mediated signaling pathway	 8
mitotic spindle assembly checkpoint	 20
positive regulation of protein phosphorylation	 51
protein deneddylation	 2
glycerol-3-phosphate dehydrogenase complex	 72
copper-dependent protein binding	 1
chitinase activity	 213
regulation of R7 cell differentiation	 2
post-embryonic hemopoiesis	 4
type III protein secretion system complex	 1
ER to Golgi ceramide transport	 1
clustering of voltage-gated sodium channels	 5
filopodium membrane	 6
DNA endoreduplication	 6
positive regulation of glucose import	 4
exonuclease activity	 181
rough endoplasmic reticulum	 26
ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	 221
acetyl-CoA C-acetyltransferase activity	 48
B cell activation	 7
chromatin silencing	 45
snRNA pseudouridine synthesis	 1
hypothalamus development	 1
plant-type vacuole	 9
collagen	 44
positive regulation of dendritic cell cytokine production	 8
type II transforming growth factor beta receptor binding	 3
negative regulation of histone H3-K4 methylation	 1
phosphopyruvate hydratase complex	 39
alternative mRNA splicing, via spliceosome	 5
somite specification	 3
3-isopropylmalate dehydrogenase activity	 6
retrograde vesicle-mediated transport, Golgi to ER	 49
lamellipodium assembly	 12
cell adhesion molecule binding	 38
detection of temperature stimulus involved in thermoception	 3
leukotriene metabolic process	 10
GTPase activating protein binding	 3
pyrimidine dimer repair by nucleotide-excision repair	 1
propionyl-CoA C2-trimethyltridecanoyltransferase activity	 2
nucleotidyltransferase activity	 719
sarcoplasmic reticulum	 37
nuclear polyadenylation-dependent snRNA catabolic process	 1
globoside metabolic process	 1
anisotropic cell growth	 1
gamma-tubulin binding	 12
UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity	 6
response to xenobiotic stimulus	 5
S-adenosylmethionine biosynthetic process	 7
positive regulation of hydrolase activity	 4
histone H4 deacetylation	 1
positive regulation of ossification	 15
muscle alpha-actinin binding	 41
reproduction	 116
Skp1-protein-hydroxyproline N-acetylglucosaminyltransferase activity	 2
profilin binding	 2
establishment of planar polarity of follicular epithelium	 2
L-malate dehydrogenase activity	 29
centromeric DNA binding	 1
erythronolide synthase activity	 81
acid-amino acid ligase activity	 210
hydrolase activity	 7011
host cell cytoplasmic vesicle membrane	 1
chromatin remodeling complex	 10
hemocyte proliferation	 4
DNA topoisomerase activity	 158
chorion	 1
2-haloacid dehalogenase (configuration-retaining) activity	 1
nicotinate nucleotide biosynthetic process	 7
Wnt receptor signaling pathway, calcium modulating pathway	 3
mitochondrion	 1176
CMP-N-acetylneuraminate transmembrane transporter activity	 2
nucleoside-triphosphate diphosphatase activity	 8
neural crest formation	 7
histone methyltransferase activity (H2A-R3 specific)	 1
ammonium transport	 6
heart trabecula formation	 1
5'-nucleotidase activity	 49
retinoic acid metabolic process	 3
leaf senescence	 2
response to growth hormone stimulus	 4
mammary gland development	 9
manganese ion transmembrane transporter activity	 1
vesicle lumen	 4
protein localization to juxtaparanode region of axon	 1
response to stimulus	 141
amylase activity	 1
eukaryotic translation initiation factor 2alpha kinase activity	 7
leukotriene-A4 hydrolase activity	 6
eyelid development in camera-type eye	 1
cytosolic large ribosomal subunit	 59
NLS-bearing substrate import into nucleus	 5
lysine biosynthetic process via diaminopimelate	 46
facial nerve morphogenesis	 3
regulation of vascular endothelial growth factor receptor signaling pathway	 5
transcription-coupled nucleotide-excision repair	 30
glyoxysome	 7
sensory perception of umami taste	 2
structural constituent of muscle	 82
mannose-6-phosphate isomerase activity	 16
tRNA nucleotidyltransferase activity	 4
chorismate biosynthetic process	 1
uracil phosphoribosyltransferase activity	 8
negative regulation of hydrolase activity	 1
DNA packaging	 1
negative regulation of B cell proliferation	 5
organic anion transport	 7
signal recognition particle receptor complex	 9
female meiosis I	 2
guanylate cyclase regulator activity	 2
negative regulation of peptidase activity	 30
fatty acid beta-oxidation using acyl-CoA oxidase	 4
Holliday junction helicase complex	 3
heme-transporting ATPase activity	 17
acetyl-CoA:L-glutamate N-acetyltransferase activity	 10
acetolactate synthase activity	 33
adenosine to inosine editing	 2
sodium-dependent organic cation transport	 1
cellular response to fibroblast growth factor stimulus	 2
regulation of pole plasm oskar mRNA localization	 7
digalactosyldiacylglycerol synthase activity	 1
alpha-ketoglutarate transport	 2
cytoplasmic vesicle part	 1
S phase of mitotic cell cycle	 66
negative regulation of myeloid cell differentiation	 2
acyl-CoA metabolic process	 9
enzyme binding	 110
NADP+ binding	 1
mannosyltransferase activity	 9
cytoskeleton-dependent intracellular transport	 3
arachidonic acid monooxygenase activity	 1
lipid biosynthetic process	 219
regulation of meiosis	 4
NADH binding	 4
termination of RNA polymerase II transcription, poly(A)-coupled	 2
eggshell chorion assembly	 1
tRNA-specific adenosine deaminase activity	 1
nucleotide-excision repair, DNA incision	 12
smooth muscle contraction involved in micturition	 6
cell-cell signaling involved in mammary gland development	 8
ethanolamine-phosphate cytidylyltransferase activity	 1
biotin-[acetyl-CoA-carboxylase] ligase activity	 6
nucleotide-sugar metabolic process	 6
protein lipidation	 4
spermidine biosynthetic process	 10
cholesterol binding	 6
cellular zinc ion homeostasis	 5
negative regulation of dendrite development	 5
erythrocyte maturation	 4
polar microtubule	 2
regulation of cell projection organization	 2
sphinganine biosynthetic process	 3
regulation of L-arginine import	 1
retinoic acid binding	 1
membrane	 8407
Golgi-associated vesicle membrane	 3
apoptotic mitochondrial changes	 7
signalosome	 16
sarcosine reductase activity	 2
structural constituent of eye lens	 5
1,4-alpha-glucan branching enzyme activity	 31
chondroitin 6-sulfotransferase activity	 4
epidermal growth factor receptor binding	 8
ferric iron binding	 12
extracellular matrix-cell signaling	 8
polytene chromosome band	 2
collagen type III	 2
neurotransmitter biosynthetic process	 6
arsenite-transmembrane transporting ATPase activity	 2
stem cell differentiation	 2
histone kinase activity (H3-S10 specific)	 1
synapse assembly	 13
sulfotransferase activity	 124
negative regulation of BMP signaling pathway	 15
protein K6-linked ubiquitination	 4
negative regulation of sequence-specific DNA binding transcription factor activity	 15
establishment of T cell polarity	 1
glyoxylate reductase (NADP) activity	 1
sialic acid transport	 3
palmitoyl-CoA hydrolase activity	 9
alanyl-tRNA aminoacylation	 27
positive regulation of glucose transport	 7
anchored to plasma membrane	 1
positive regulation of protein kinase activity	 63
regulation of axon extension	 11
SSU rRNA binding	 7
M phase of mitotic cell cycle	 28
secretory granule localization	 3
type I transforming growth factor beta receptor binding	 3
equator specification	 4
unmethylated CpG binding	 5
negative regulation of signal transduction	 22
positive regulation of stress-activated MAPK cascade	 17
epithelial cell maturation	 2
IgA binding	 1
ion transmembrane transporter activity	 5
hydrolase activity, acting on ester bonds	 249
icosanoid biosynthetic process	 1
macroautophagy	 5
regulation of epithelial cell migration	 1
subthalamus development	 1
lateral plasma membrane	 31
positive regulation of killing of cells of other organism	 1
neural tube formation	 17
intrinsic to membrane	 165
steroid hormone receptor activity	 8
amyloplast	 7
isoamylase complex	 1
histone methyltransferase complex	 7
termination of RNA polymerase II transcription	 16
regulation of S phase of mitotic cell cycle	 9
nucleobase-containing compound transport	 4
neuron projection morphogenesis	 16
glycocalyx	 1
arsenite transmembrane transporter activity	 2
alpha-beta T cell differentiation	 2
pachytene	 4
vitamin D catabolic process	 2
myosin VI head/neck binding	 5
delta-catenin binding	 8
regulation of fungal-type cell wall (1->3)-alpha-glucan biosynthetic process	 2
response to pH	 26
response to organophosphorus	 2
diphosphoinositol-polyphosphate diphosphatase activity	 1
3-hydroxyisobutyrate dehydrogenase activity	 28
UDP-glucuronic acid transport	 1
diacylglycerol binding	 1
polyadenylation-dependent mRNA catabolic process	 1
citrate transmembrane transporter activity	 38
preribosome, large subunit precursor	 1
ornithine transport	 1
glycogen debranching enzyme activity	 6
vacuolar proton-transporting V-type ATPase, V1 domain	 4
negative regulation of lipid storage	 4
protein localization to kinetochore	 9
response to glucocorticoid stimulus	 33
replicative senescence	 7
neurofilament cytoskeleton organization	 1
menaquinone biosynthetic process	 15
carnitine biosynthetic process	 14
S-adenosylhomocysteine metabolic process	 5
camera-type eye photoreceptor cell fate commitment	 2
C21-steroid hormone biosynthetic process	 3
glucocorticoid receptor signaling pathway	 2
transcription of nuclear large rRNA transcript from RNA polymerase I promoter	 2
biopterin transporter activity	 1
endocytic vesicle membrane	 51
negative regulation of megakaryocyte differentiation	 3
regulation of liquid surface tension	 1
Holliday junction resolvase complex	 1
positive regulation of cGMP-mediated signaling	 1
cranial nerve morphogenesis	 1
intrinsic to vacuolar membrane	 2
fibrinogen binding	 2
protein K63-linked deubiquitination	 16
mitochondrial electron transport, succinate to ubiquinone	 4
regulation of chromatin silencing	 1
negative regulation of heart induction by canonical Wnt receptor signaling pathway	 2
visual perception	 120
nucleotide catabolic process	 61
TFIIK complex	 1
toll-like receptor 3 signaling pathway	 59
protein phosphatase type 1 complex	 7
glyoxylate oxidase activity	 2
subapical complex	 2
anatomical structure development	 14
cellular response to glucocorticoid stimulus	 2
phosphatidylinositol 3-kinase complex I	 1
structural constituent of cytoskeleton	 111
cellular polysaccharide catabolic process	 3
N-acylmannosamine kinase activity	 4
positive regulation of protein ubiquitination	 32
homogentisate 1,2-dioxygenase activity	 6
response to red or far red light	 2
regulation of vasoconstriction	 6
olfactory pit development	 1
hemolysis in other organism	 3
fear response	 3
response to oxidative stress	 182
trans-aconitate 2-methyltransferase activity	 2
transport	 4328
myosin II filament assembly	 2
copper ion transport	 32
anterior/posterior pattern specification, imaginal disc	 1
regulation of histone H3-K4 methylation	 2
excitatory synapse	 21
branch fusion, open tracheal system	 12
arabinan endo-1,5-alpha-L-arabinosidase activity	 3
tRNA methylation	 12
respiratory system development	 1
establishment of glial blood-brain barrier	 3
peptidyl-dipeptidase activity	 3
lung lobe morphogenesis	 2
rRNA (guanine-N7-)-methyltransferase activity	 2
regulation of barrier septum assembly	 5
eukaryotic 43S preinitiation complex	 1
insulin-like growth factor I binding	 1
positive regulation of transcription initiation from RNA polymerase II promoter	 2
light-harvesting complex	 29
phosphatidylinositol phosphorylation	 40
MutLalpha complex	 7
mitotic chromosome condensation	 54
receptor clustering	 24
aerobic respiration	 70
cellular metabolic process	 209
ubiquitin-dependent protein catabolic process	 212
UDP metabolic process	 1
ecdysone 20-monooxygenase activity	 5
positive regulation of JUN kinase activity	 25
negative regulation of pyrimidine nucleobase metabolic process	 2
protein-arginine omega-N asymmetric methyltransferase activity	 5
digestive tract development	 12
condensed chromosome outer kinetochore	 5
axon	 124
neuron death	 6
lactosylceramide 4-alpha-galactosyltransferase activity	 8
SSL2-core TFIIH complex	 6
semaphorin-plexin signaling pathway involved in regulation of photoreceptor cell axon guidance	 2
hydrolase activity, acting on glycosyl bonds	 765
low affinity sodium:dicarboxylate symporter activity	 2
cysteinyl-tRNA aminoacylation	 29
maintenance of presynaptic active zone structure	 5
very-low-density lipoprotein particle clearance	 1
positive regulation of interleukin-10 production	 12
positive regulation of melanocyte differentiation	 1
transcription activator activity	 37
benzoate metabolic process	 7
peptidyl-proline dioxygenase activity	 1
secretion by cell	 16
