KEGG Pathways	Number of Occurences
"(Porphyrin and chlorophyll metabolism (map00860), hydrogenobyrinic acid a,c-diamide cobaltochelatase (ec:6.6.1.2))"	12
"(Oxidative phosphorylation (map00190), kinase (ec:2.7.4.1))"	12
"(Pentose phosphate pathway (map00030), dihydroxyacetonetransferase (ec:2.2.1.2))"	12
"(Cyanoamino acid metabolism (map00460), hydroxymethyltransferase (ec:2.1.2.1))"	12
"(Valine, leucine and isoleucine degradation (map00280), dehydrogenase (acylating) (ec:1.2.1.27))"	12
"(One carbon pool by folate (map00670), hydroxymethyltransferase (ec:2.1.2.1))"	12
"(Glutathione metabolism (map00480), (ATP-hydrolysing) (ec:3.5.2.9))"	12
"(Methane metabolism (map00680), hydroxymethyltransferase (ec:2.1.2.1))"	12
"(Thiamine metabolism (map00730), synthase (ec:2.2.1.7))"	12
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.6))"	12
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.3))"	12
"(Purine metabolism (map00230), kinase (ec:2.7.4.3))"	12
"(Glyoxylate and dicarboxylate metabolism (map00630), hydroxymethyltransferase (ec:2.1.2.1))"	12
"(Cysteine and methionine metabolism (map00270), O-acetyltransferase (ec:2.3.1.30))"	12
"(Glycine, serine and threonine metabolism (map00260), hydroxymethyltransferase (ec:2.1.2.1))"	12
"(Sulfur metabolism (map00920), O-acetyltransferase (ec:2.3.1.30))"	12
"(Histidine metabolism (map00340), dehydrogenase (ec:1.1.1.23))"	12
"(Propanoate metabolism (map00640), dehydrogenase (acylating) (ec:1.2.1.27))"	12
"(Nitrogen metabolism (map00910), reductase (NO-forming) (ec:1.7.2.1))"	12
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.15))"	12
"(Propanoate metabolism (map00640), ligase (ec:6.2.1.17))"	11
"(Porphyrin and chlorophyll metabolism (map00860), dehydrogenase (ec:1.3.1.76))"	11
"(Selenocompound metabolism (map00450), ligase (ec:6.1.1.10))"	11
"(Steroid hormone biosynthesis (map00140), sulfatase (ec:3.1.6.1))"	11
"(Vitamin B6 metabolism (map00750), transaminase (ec:2.6.1.52))"	11
"(Pyruvate metabolism (map00620), synthase (ec:2.3.3.9))"	11
"(Pyrimidine metabolism (map00240), carbamoyltransferase (ec:2.1.3.2))"	11
"(Porphyrin and chlorophyll metabolism (map00860), ferrochelatase (ec:4.99.1.4))"	11
"(Starch and sucrose metabolism (map00500), branching enzyme (ec:2.4.1.18))"	11
"(Peptidoglycan biosynthesis (map00550), glycosyltransferase (ec:2.4.1.129))"	11
"(Pentose and glucuronate interconversions (map00040), dehydratase (ec:4.2.1.7))"	11
"(Glutathione metabolism (map00480), reductase (ec:1.8.1.7))"	11
"(Selenocompound metabolism (map00450), adenylyltransferase (ec:2.7.7.4))"	11
"(Amino sugar and nucleotide sugar metabolism (map00520), mutase (ec:5.4.2.10))"	11
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.1))"	11
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.10))"	11
"(Purine metabolism (map00230), adenylyltransferase (ec:2.7.7.4))"	11
"(Arginine and proline metabolism (map00330), (ATP-hydrolysing) (ec:3.5.2.14))"	11
"(Sphingolipid metabolism (map00600), sulfatase (ec:3.1.6.1))"	11
"(Glycine, serine and threonine metabolism (map00260), transaminase (ec:2.6.1.52))"	11
"(Sulfur metabolism (map00920), adenylyltransferase (ec:2.7.7.4))"	11
"(Glyoxylate and dicarboxylate metabolism (map00630), synthase (ec:2.3.3.9))"	11
"(Methane metabolism (map00680), transaminase (ec:2.6.1.52))"	11
"(One carbon pool by folate (map00670), dehydrogenase (ec:1.5.1.6))"	11
"(Alanine, aspartate and glutamate metabolism (map00250), carbamoyltransferase (ec:2.1.3.2))"	11
"(Glycine, serine and threonine metabolism (map00260), ec:3.5.3.3 creatinase (ec:3.5.3.3))"	10
"(Pantothenate and CoA biosynthesis (map00770), reductoisomerase (ec:1.1.1.86))"	10
"(Arginine and proline metabolism (map00330), lyase (ec:4.3.2.1))"	10
"(Arginine and proline metabolism (map00330), ec:3.5.1.5 urease (ec:3.5.1.5))"	10
"(Glyoxylate and dicarboxylate metabolism (map00630), oxidase (ec:1.1.3.15))"	10
"(Valine, leucine and isoleucine biosynthesis (map00290), reductoisomerase (ec:1.1.1.86))"	10
"(Selenocompound metabolism (map00450), beta-lyase (ec:4.4.1.8))"	10
"(Pyruvate metabolism (map00620), acetyltransferase (ec:2.3.1.8))"	10
"(Arginine and proline metabolism (map00330), ec:3.5.3.3 creatinase (ec:3.5.3.3))"	10
"(Methane metabolism (map00680), acetyltransferase (ec:2.3.1.8))"	10
"(Terpenoid backbone biosynthesis (map00900), decarboxylase (ec:4.1.1.33))"	10
"(Valine, leucine and isoleucine degradation (map00280), carboxylase (ec:6.4.1.4))"	10
"(Pentose phosphate pathway (map00030), dehydratase (ec:4.2.1.12))"	10
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.16))"	10
"(Peptidoglycan biosynthesis (map00550), D-Ala-D-Ala carboxypeptidase (ec:3.4.16.4))"	10
"(Citrate cycle (TCA cycle) (map00020), (pro-3S)-lyase (ec:4.1.3.6))"	10
"(Drug metabolism - cytochrome P450 (map00982), monooxygenase (ec:1.14.13.8))"	10
"(Sulfur metabolism (map00920), beta-lyase (ec:4.4.1.8))"	10
"(Pentose phosphate pathway (map00030), dehydrogenase (ec:1.1.1.49))"	10
"(Methane metabolism (map00680), monooxygenase (ec:1.14.13.8))"	10
"(Carbon fixation pathways in prokaryotes (map00720), acetyltransferase (ec:2.3.1.8))"	10
"(Thiamine metabolism (map00730), desulfurase (ec:2.8.1.7))"	10
"(Glutathione metabolism (map00480), dehydrogenase (ec:1.1.1.49))"	10
"(Pyrimidine metabolism (map00240), synthase (glutamine hydrolysing) (ec:6.3.4.2))"	10
"(Pyruvate metabolism (map00620), oxidase (ec:1.2.3.3))"	10
"(Alanine, aspartate and glutamate metabolism (map00250), lyase (ec:4.3.2.1))"	10
"(Taurine and hypotaurine metabolism (map00430), dehydrogenase (ec:1.4.1.1))"	10
"(Cysteine and methionine metabolism (map00270), beta-lyase (ec:4.4.1.8))"	10
"(Propanoate metabolism (map00640), acetyltransferase (ec:2.3.1.8))"	10
"(Atrazine degradation (map00791), ec:3.5.1.5 urease (ec:3.5.1.5))"	10
"(Taurine and hypotaurine metabolism (map00430), acetyltransferase (ec:2.3.1.8))"	10
"(Alanine, aspartate and glutamate metabolism (map00250), dehydrogenase (ec:1.4.1.1))"	10
"(Purine metabolism (map00230), ec:3.5.1.5 urease (ec:3.5.1.5))"	10
"(Purine metabolism (map00230), phosphoribosyldiphosphate 5-amidotransferase (ec:2.4.2.14))"	9
"(Glycerophospholipid metabolism (map00564), decarboxylase (ec:4.1.1.65))"	9
"(Pyrimidine metabolism (map00240), synthase (ec:2.1.1.45))"	9
"(Drug metabolism - other enzymes (map00983), ali-esterase (ec:3.1.1.1))"	9
"(Pyruvate metabolism (map00620), hydrolase (ec:3.1.2.6))"	9
"(Butanoate metabolism (map00650), dehydrogenase (ec:1.1.1.157))"	9
"(Pyruvate metabolism (map00620), dehydrogenase (decarboxylating) (ec:1.1.1.39))"	9
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.14))"	9
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.1.99.1))"	9
"(Lysine biosynthesis (map00300), dehydrogenase (ec:1.2.1.11))"	9
"(Cysteine and methionine metabolism (map00270), dehydrogenase (ec:1.2.1.11))"	9
"(Nitrogen metabolism (map00910), reductase (ec:1.7.2.4))"	9
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.2.1.11))"	9
"(Purine metabolism (map00230), kinase (ec:2.7.4.8))"	9
"(Fatty acid biosynthesis (map00061), synthase III (ec:2.3.1.180))"	9
"(Glutathione metabolism (map00480), ligase (ec:6.3.2.2))"	9
"(One carbon pool by folate (map00670), synthase (ec:2.1.1.45))"	9
"(Peptidoglycan biosynthesis (map00550), MraY transferase (ec:2.7.8.13))"	9
"(Carbon fixation in photosynthetic organisms (map00710), dehydrogenase (decarboxylating) (ec:1.1.1.39))"	9
"(Alanine, aspartate and glutamate metabolism (map00250), phosphoribosyldiphosphate 5-amidotransferase (ec:2.4.2.14))"	9
"(Sulfur metabolism (map00920), reductase (ferredoxin) (ec:1.8.7.1))"	9
"(Benzoate degradation (map00362), dehydrogenase (ec:1.1.1.157))"	9
"(Phenylalanine metabolism (map00360), dehydrogenase (ec:1.1.1.157))"	9
"(Lysine biosynthesis (map00300), desuccinylase (ec:3.5.1.18))"	9
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.1.1.95))"	8
"(Drug metabolism - cytochrome P450 (map00982), transferase (ec:2.5.1.18))"	8
"(Caffeine metabolism (map00232), oxidase (ec:1.17.3.2))"	8
"(Other glycan degradation (map00511), alpha-D-mannosidase (ec:3.2.1.24))"	8
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.21))"	8
"(Primary bile acid biosynthesis (map00120), C-acyltransferase (ec:2.3.1.176))"	8
"(Biotin metabolism (map00780), synthase II (ec:2.3.1.179))"	8
"(Butanoate metabolism (map00650), acyl-CoA dehydrogenase (ec:1.3.8.1))"	8
"(Sulfur metabolism (map00920), O-acetyltransferase (ec:2.3.1.31))"	8
"(Fatty acid metabolism (map00071), acyl-CoA dehydrogenase (ec:1.3.8.1))"	8
"(Galactose metabolism (map00052), lactase (ambiguous) (ec:3.2.1.23))"	8
"(Valine, leucine and isoleucine degradation (map00280), acyl-CoA dehydrogenase (ec:1.3.8.1))"	8
"(Terpenoid backbone biosynthesis (map00900), diphosphate reductase (ec:1.17.1.2))"	8
"(Cysteine and methionine metabolism (map00270), O-acetyltransferase (ec:2.3.1.31))"	8
"(Pyruvate metabolism (map00620), CoA-transferase (ec:2.8.3.1))"	8
"(Drug metabolism - other enzymes (map00983), oxidase (ec:1.17.3.2))"	8
"(Porphyrin and chlorophyll metabolism (map00860), 2,1-aminomutase (ec:5.4.3.8))"	8
"(Purine metabolism (map00230), phosphodiesterase (ec:3.1.4.17))"	8
"(Porphyrin and chlorophyll metabolism (map00860), synthase (ec:4.2.1.24))"	8
"(Peptidoglycan biosynthesis (map00550), 1-carboxyvinyltransferase (ec:2.5.1.7))"	8
"(Lysine biosynthesis (map00300), kinase (ec:2.7.2.4))"	8
"(Butanoate metabolism (map00650), reductase (ec:1.1.1.36))"	8
"(Valine, leucine and isoleucine degradation (map00280), dehydrogenase (ec:1.1.1.31))"	8
"(Purine metabolism (map00230), oxidase (ec:1.17.3.2))"	8
"(Porphyrin and chlorophyll metabolism (map00860), chelatase (ec:6.6.1.1))"	8
"(Other glycan degradation (map00511), lactase (ambiguous) (ec:3.2.1.23))"	8
"(Purine metabolism (map00230), synthase (ec:6.3.5.3))"	8
"(Nicotinate and nicotinamide metabolism (map00760), transhydrogenase (B-specific) (ec:1.6.1.1))"	8
"(Carbon fixation in photosynthetic organisms (map00710), kinase (ec:2.7.2.3))"	8
"(Glycosphingolipid biosynthesis - ganglio series (map00604), lactase (ambiguous) (ec:3.2.1.23))"	8
"(Pentose and glucuronate interconversions (map00040), 2-dehydrogenase (ec:1.1.1.13))"	8
"(Metabolism of xenobiotics by cytochrome P450 (map00980), transferase (ec:2.5.1.18))"	8
"(Sphingolipid metabolism (map00600), lactase (ambiguous) (ec:3.2.1.23))"	8
"(Cysteine and methionine metabolism (map00270), kinase (ec:2.7.2.4))"	8
"(Methane metabolism (map00680), dehydrogenase (ec:1.1.1.95))"	8
"(Glutathione metabolism (map00480), transferase (ec:2.5.1.18))"	8
"(Glycosaminoglycan degradation (map00531), lactase (ambiguous) (ec:3.2.1.23))"	8
"(Propanoate metabolism (map00640), CoA-transferase (ec:2.8.3.1))"	8
"(Amino sugar and nucleotide sugar metabolism (map00520), 1-carboxyvinyltransferase (ec:2.5.1.7))"	8
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), mutase (ec:5.4.99.5))"	8
"(Fatty acid biosynthesis (map00061), synthase II (ec:2.3.1.179))"	8
"(Glycolysis / Gluconeogenesis (map00010), kinase (ec:2.7.2.3))"	8
"(Pyrimidine metabolism (map00240), phosphoribosyltransferase (ec:2.4.2.9))"	8
"(Glyoxylate and dicarboxylate metabolism (map00630), reductase (ec:1.1.1.36))"	8
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.18))"	8
"(Glycine, serine and threonine metabolism (map00260), kinase (ec:2.7.2.4))"	8
"(Styrene degradation (map00643), CoA-transferase (ec:2.8.3.1))"	8
"(Cysteine and methionine metabolism (map00270), S-methyltransferase (ec:2.1.1.14))"	7
"(Phosphatidylinositol signaling system (map04070), kinase C (ec:2.7.11.13))"	7
"(Butanoate metabolism (map00650), dehydrogenase [NAD(P)+] (ec:1.2.1.16))"	7
"(Lipoic acid metabolism (map00785), synthase (ec:2.8.1.8))"	7
"(Drug metabolism - other enzymes (map00983), diphosphatase (ec:3.6.1.19))"	7
"(Alanine, aspartate and glutamate metabolism (map00250), dehydrogenase (ec:1.4.1.2))"	7
"(Glycine, serine and threonine metabolism (map00260), aldolase (ec:4.1.2.5))"	7
"(Arginine and proline metabolism (map00330), synthase (ec:6.3.4.5))"	7
"(Purine metabolism (map00230), synthase (ec:6.3.4.4))"	7
"(Purine metabolism (map00230), diphosphatase (ec:3.6.1.19))"	7
"(Purine metabolism (map00230), lyase (ec:4.3.2.2))"	7
"(Galactose metabolism (map00052), dehydratase (ec:4.2.1.6))"	7
"(Tyrosine metabolism (map00350), Delta-isomerase (ec:5.3.3.10))"	7
"(Purine metabolism (map00230), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Pentose and glucuronate interconversions (map00040), 3-epimerase (ec:5.1.3.1))"	7
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (ec:6.3.4.5))"	7
"(Nitrogen metabolism (map00910), dehydrogenase (ec:1.4.1.2))"	7
"(Carbon fixation in photosynthetic organisms (map00710), 3-epimerase (ec:5.1.3.1))"	7
"(Purine metabolism (map00230), phosphodiesterase (ec:3.1.4.35))"	7
"(Cysteine and methionine metabolism (map00270), dehydrogenase (ec:1.1.1.3))"	7
"(Histidine metabolism (map00340), isomerase (ec:5.3.1.16))"	7
"(Alanine, aspartate and glutamate metabolism (map00250), lyase (ec:4.3.2.2))"	7
"(Vitamin B6 metabolism (map00750), 5'-phosphate synthase (ec:1.4.3.5))"	7
"(Amino sugar and nucleotide sugar metabolism (map00520), uridylyltransferase (ec:2.7.7.9))"	7
"(Starch and sucrose metabolism (map00500), synthase (UDP-forming) (ec:2.4.1.15))"	7
"(Galactose metabolism (map00052), uridylyltransferase (ec:2.7.7.9))"	7
"(Pentose and glucuronate interconversions (map00040), uridylyltransferase (ec:2.7.7.9))"	7
"(Chlorocyclohexane and chlorobenzene degradation (map00361), maleylacetate enol-lactonase (ec:3.1.1.45))"	7
"(Pentose phosphate pathway (map00030), 3-epimerase (ec:5.1.3.1))"	7
"(Penicillin and cephalosporin biosynthesis (map00311), epimerase (ec:5.1.1.17))"	7
"(Starch and sucrose metabolism (map00500), uridylyltransferase (ec:2.7.7.9))"	7
"(Tyrosine metabolism (map00350), dehydrogenase [NAD(P)+] (ec:1.2.1.16))"	7
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (ec:6.3.4.4))"	7
"(Benzoate degradation (map00362), CoA-transferase (ec:2.8.3.6))"	7
"(Fluorobenzoate degradation (map00364), maleylacetate enol-lactonase (ec:3.1.1.45))"	7
"(Arginine and proline metabolism (map00330), dehydrogenase (ec:1.4.1.2))"	7
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.1.1.3))"	7
"(Sulfur metabolism (map00920), oxidase (ec:1.8.3.1))"	7
"(Pyrimidine metabolism (map00240), diphosphatase (ec:3.6.1.19))"	7
"(Amino sugar and nucleotide sugar metabolism (map00520), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Streptomycin biosynthesis (map00521), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Toluene degradation (map00623), maleylacetate enol-lactonase (ec:3.1.1.45))"	7
"(Taurine and hypotaurine metabolism (map00430), dehydrogenase (ec:1.4.1.2))"	7
"(Alanine, aspartate and glutamate metabolism (map00250), dehydrogenase [NAD(P)+] (ec:1.2.1.16))"	7
"(Selenocompound metabolism (map00450), S-methyltransferase (ec:2.1.1.14))"	7
"(Ubiquinone and other terpenoid-quinone biosynthesis (map00130), 3-O-methyltransferase (ec:2.1.1.64))"	7
"(Starch and sucrose metabolism (map00500), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Galactose metabolism (map00052), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Glycolysis / Gluconeogenesis (map00010), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Lysine biosynthesis (map00300), dehydrogenase (ec:1.1.1.3))"	7
"(Pentose phosphate pathway (map00030), (alpha-D-glucose-1,6-bisphosphate-dependent) (ec:5.4.2.2))"	7
"(Fructose and mannose metabolism (map00051), phosphohexokinase (ec:2.7.1.11))"	6
"(Glycosphingolipid biosynthesis - globo series (map00603), melibiase (ec:3.2.1.22))"	6
"(Steroid hormone biosynthesis (map00140), O-methyltransferase (ec:2.1.1.6))"	6
"(Purine metabolism (map00230), cyclohydrolase (ec:3.5.4.10))"	6
"(Butanoate metabolism (map00650), transaminase (ec:2.6.1.19))"	6
"(Carbon fixation in photosynthetic organisms (map00710), isomerase (ec:5.3.1.6))"	6
"(Glycolysis / Gluconeogenesis (map00010), carboxykinase (GTP) (ec:4.1.1.32))"	6
"(Lysine biosynthesis (map00300), N-succinyltransferase (ec:2.3.1.117))"	6
"(Citrate cycle (TCA cycle) (map00020), carboxykinase (GTP) (ec:4.1.1.32))"	6
"(Methane metabolism (map00680), phosphohexokinase (ec:2.7.1.11))"	6
"(Carbon fixation pathways in prokaryotes (map00720), Delta-isomerase (ec:5.3.3.3))"	6
"(beta-Alanine metabolism (map00410), transaminase (ec:2.6.1.19))"	6
"(Purine metabolism (map00230), synthase (ec:6.3.2.6))"	6
"(Butanoate metabolism (map00650), CoA-transferase (ec:2.8.3.8))"	6
"(Sphingolipid metabolism (map00600), melibiase (ec:3.2.1.22))"	6
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), dehydratase (ec:4.2.1.51))"	6
"(Arginine and proline metabolism (map00330), carbamoyltransferase (ec:2.1.3.3))"	6
"(Drug metabolism - other enzymes (map00983), synthase (glutamine-hydrolysing) (ec:6.3.5.2))"	6
"(Alanine, aspartate and glutamate metabolism (map00250), transaminase (ec:2.6.1.19))"	6
"(Butanoate metabolism (map00650), epimerase (ec:5.1.2.3))"	6
"(Nitrogen metabolism (map00910), reductase (ec:1.7.99.1))"	6
"(Fatty acid metabolism (map00071), epimerase (ec:5.1.2.3))"	6
"(Peptidoglycan biosynthesis (map00550), ligase (ec:6.3.2.8))"	6
"(Pyruvate metabolism (map00620), carboxykinase (GTP) (ec:4.1.1.32))"	6
"(One carbon pool by folate (map00670), formyltransferase (ec:2.1.2.3))"	6
"(beta-Alanine metabolism (map00410), hydantoinase (ec:3.5.2.2))"	6
"(Pantothenate and CoA biosynthesis (map00770), hydantoinase (ec:3.5.2.2))"	6
"(N-Glycan biosynthesis (map00510), 1,2-alpha-mannosidase (ec:3.2.1.113))"	6
"(Arginine and proline metabolism (map00330), dehydrogenase (ec:1.2.1.41))"	6
"(Propanoate metabolism (map00640), transaminase (ec:2.6.1.19))"	6
"(Drug metabolism - other enzymes (map00983), hydantoinase (ec:3.5.2.2))"	6
"(Galactose metabolism (map00052), phosphohexokinase (ec:2.7.1.11))"	6
"(Peptidoglycan biosynthesis (map00550), ligase (ec:6.3.2.4))"	6
"(Various types of N-glycan biosynthesis (map00513), 1,2-alpha-mannosidase (ec:3.2.1.113))"	6
"(Lysine degradation (map00310), N-methyltransferase (ec:2.1.1.43))"	6
"(Methane metabolism (map00680), hydrolase (ec:3.1.2.12))"	6
"(Tyrosine metabolism (map00350), O-methyltransferase (ec:2.1.1.6))"	6
"(Fatty acid biosynthesis (map00061), synthase (ec:2.3.1.85))"	6
"(Porphyrin and chlorophyll metabolism (map00860), decarboxylase (ec:4.1.1.37))"	6
"(Arginine and proline metabolism (map00330), transaminase (ec:2.6.1.11))"	6
"(Butanoate metabolism (map00650), dehydrogenase (ec:1.1.1.30))"	6
"(D-Alanine metabolism (map00473), ligase (ec:6.3.2.4))"	6
"(Propanoate metabolism (map00640), CoA-transferase (ec:2.8.3.8))"	6
"(D-Glutamine and D-glutamate metabolism (map00471), ligase (ec:6.3.2.8))"	6
"(Aminobenzoate degradation (map00627), CoA-transferase (ec:2.8.3.8))"	6
"(Butanoate metabolism (map00650), Delta-isomerase (ec:5.3.3.3))"	6
"(Pyrimidine metabolism (map00240), hydantoinase (ec:3.5.2.2))"	6
"(Glycerolipid metabolism (map00561), melibiase (ec:3.2.1.22))"	6
"(Glyoxylate and dicarboxylate metabolism (map00630), dehydrogenase (cytochrome) (ec:1.2.2.1))"	6
"(Galactose metabolism (map00052), melibiase (ec:3.2.1.22))"	6
"(Fructose and mannose metabolism (map00051), isomerase (ec:5.3.1.6))"	6
"(Glycolysis / Gluconeogenesis (map00010), phosphohexokinase (ec:2.7.1.11))"	6
"(Purine metabolism (map00230), formyltransferase (ec:2.1.2.3))"	6
"(Sulfur metabolism (map00920), dehydrogenase (ec:1.8.2.1))"	6
"(Propanoate metabolism (map00640), ligase (GDP-forming) (ec:6.2.1.4))"	6
"(Synthesis and degradation of ketone bodies (map00072), dehydrogenase (ec:1.1.1.30))"	6
"(Pentose phosphate pathway (map00030), phosphohexokinase (ec:2.7.1.11))"	6
"(Betalain biosynthesis (map00965), O-methyltransferase (ec:2.1.1.6))"	6
"(Citrate cycle (TCA cycle) (map00020), ligase (GDP-forming) (ec:6.2.1.4))"	6
"(Purine metabolism (map00230), synthase (glutamine-hydrolysing) (ec:6.3.5.2))"	6
"(Pentose phosphate pathway (map00030), isomerase (ec:5.3.1.6))"	6
"(Purine metabolism (map00230), diphosphokinase (ec:2.7.6.1))"	5
"(Sulfur metabolism (map00920), sulfurtransferase (ec:2.8.1.1))"	5
"(Lysine biosynthesis (map00300), decarboxylase (ec:4.1.1.20))"	5
"(Valine, leucine and isoleucine degradation (map00280), dehydrogenase (2-methylpropanoyl-transferring) (ec:1.2.4.4))"	5
"(Tyrosine metabolism (map00350), transaminase (ec:2.6.1.9))"	5
"(Retinol metabolism (map00830), oxidase (ec:1.2.3.1))"	5
"(Retinol metabolism (map00830), hydrolase (ec:3.1.1.63))"	5
"(Galactose metabolism (map00052), aldolase (ec:4.1.2.21))"	5
"(Ubiquinone and other terpenoid-quinone biosynthesis (map00130), transaminase (ec:2.6.1.5))"	5
"(Porphyrin and chlorophyll metabolism (map00860), phosphoribosyltransferase (ec:2.4.2.21))"	5
"(Histidine metabolism (map00340), ammonia-lyase (ec:4.3.1.3))"	5
"(Aminobenzoate degradation (map00627), racemase (ec:5.1.2.2))"	5
"(Phenylalanine metabolism (map00360), transaminase (ec:2.6.1.9))"	5
"(Folate biosynthesis (map00790), cyclohydrolase I (ec:3.5.4.16))"	5
"(Fructose and mannose metabolism (map00051), isomerase (ec:5.3.1.8))"	5
"(Glycine, serine and threonine metabolism (map00260), synthase (ec:4.2.3.1))"	5
"(Pyrimidine metabolism (map00240), reductase (ec:1.8.1.9))"	5
"(Drug metabolism - other enzymes (map00983), ec:3.5.1.6 beta-ureidopropionase (ec:3.5.1.6))"	5
"(Cyanoamino acid metabolism (map00460), gentiobiase (ec:3.2.1.21))"	5
"(Galactose metabolism (map00052), maltase (ec:3.2.1.20))"	5
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.11))"	5
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), dehydratase (ec:4.2.1.10))"	5
"(Alanine, aspartate and glutamate metabolism (map00250), dehydrogenase (NAD+) (ec:1.2.1.24))"	5
"(Glyoxylate and dicarboxylate metabolism (map00630), reductase (ec:1.1.1.60))"	5
"(Sulfur metabolism (map00920), kinase (ec:2.7.1.25))"	5
"(Cysteine and methionine metabolism (map00270), (cytosine-5-)-methyltransferase (ec:2.1.1.37))"	5
"(Phenylalanine metabolism (map00360), transaminase (ec:2.6.1.5))"	5
"(Tyrosine metabolism (map00350), oxidase (ec:1.2.3.1))"	5
"(Selenocompound metabolism (map00450), reductase (ec:1.8.1.9))"	5
"(Lipopolysaccharide biosynthesis (map00540), O-acyltransferase (ec:2.3.1.129))"	5
"(Arginine and proline metabolism (map00330), N-acetyltransferase (ec:2.3.1.35))"	5
"(Isoquinoline alkaloid biosynthesis (map00950), transaminase (ec:2.6.1.5))"	5
"(Phenylpropanoid biosynthesis (map00940), O-methyltransferase (ec:2.1.1.146))"	5
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), transaminase (ec:2.6.1.5))"	5
"(Tropane, piperidine and pyridine alkaloid biosynthesis (map00960), transaminase (ec:2.6.1.5))"	5
"(Amino sugar and nucleotide sugar metabolism (map00520), isomerase (ec:5.3.1.8))"	5
"(Pyruvate metabolism (map00620), lyase (ec:4.4.1.5))"	5
"(Cysteine and methionine metabolism (map00270), transaminase (ec:2.6.1.5))"	5
"(Carbon fixation in photosynthetic organisms (map00710), isomerase (ec:5.3.1.1))"	5
"(Pantothenate and CoA biosynthesis (map00770), ec:3.5.1.6 beta-ureidopropionase (ec:3.5.1.6))"	5
"(Pentose phosphate pathway (map00030), diphosphokinase (ec:2.7.6.1))"	5
"(Fructose and mannose metabolism (map00051), isomerase (ec:5.3.1.1))"	5
"(Tryptophan metabolism (map00380), oxidase (ec:1.2.3.1))"	5
"(Novobiocin biosynthesis (map00401), transaminase (ec:2.6.1.9))"	5
"(Purine metabolism (map00230), kinase (ec:2.7.1.25))"	5
"(Nitrogen metabolism (map00910), reductase (ec:1.7.7.1))"	5
"(beta-Alanine metabolism (map00410), ec:3.5.1.6 beta-ureidopropionase (ec:3.5.1.6))"	5
"(Pyrimidine metabolism (map00240), kinase (ec:2.7.4.22))"	5
"(Amino sugar and nucleotide sugar metabolism (map00520), diphosphorylase (ec:2.7.7.23))"	5
"(Pyrimidine metabolism (map00240), deaminase (ec:3.5.4.13))"	5
"(Tyrosine metabolism (map00350), transaminase (ec:2.6.1.5))"	5
"(Nicotinate and nicotinamide metabolism (map00760), oxidase (ec:1.2.3.1))"	5
"(Arginine and proline metabolism (map00330), N-acetyltransferase (ec:2.3.1.1))"	5
"(Glutathione metabolism (map00480), synthase (ec:6.3.2.3))"	5
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), transaminase (ec:2.6.1.9))"	5
"(Tropane, piperidine and pyridine alkaloid biosynthesis (map00960), transaminase (ec:2.6.1.9))"	5
"(Starch and sucrose metabolism (map00500), maltase (ec:3.2.1.20))"	5
"(Inositol phosphate metabolism (map00562), isomerase (ec:5.3.1.1))"	5
"(Glycolysis / Gluconeogenesis (map00010), isomerase (ec:5.3.1.1))"	5
"(Drug metabolism - cytochrome P450 (map00982), oxidase (ec:1.2.3.1))"	5
"(Purine metabolism (map00230), ligase (ec:6.3.4.13))"	5
"(Valine, leucine and isoleucine biosynthesis (map00290), dehydrogenase (ec:1.1.1.85))"	5
"(Valine, leucine and isoleucine degradation (map00280), oxidase (ec:1.2.3.1))"	5
